SK|RESULT_CACHE|RESULT_CACHE_TS
17801|The total sales in the Last Complete Year timeframe in the FLORAL HBC departments is $158,387,442|2024-01-09 14:46:01.944816
17802|The total sales in the Last Complete Year timeframe in the SEAFOOD GM departments is $169,654,559|2024-01-09 14:46:02.150594
17803|The total sales in the Last Complete Year timeframe in the SEAFOOD PRODUCE departments is $516,667,442|2024-01-09 14:46:02.332909
17804|The total sales in the Last Complete Year timeframe in the SEAFOOD DELI departments is $349,055,573|2024-01-09 14:46:02.555979
17805|The total sales in the Last Complete Year timeframe in the SEAFOOD BAKERY departments is $200,672,420|2024-01-09 14:46:02.833716
17806|The total sales in the Last Complete Year timeframe in the SEAFOOD MEAT departments is $531,938,857|2024-01-09 14:46:03.071419
17807|The total sales in the Last Complete Year timeframe in the SEAFOOD GROCERY departments is $1,962,804,942|2024-01-09 14:46:03.281570
17808|The total sales in the Last Complete Year timeframe in the SEAFOOD PHARMACY departments is $485,925,107|2024-01-09 14:46:03.556026
17809|The total sales in the Last Complete Year timeframe in the SEAFOOD HBC departments is $215,525,714|2024-01-09 14:46:03.793194
17810|The total sales in the Last Complete Year timeframe in the GM PRODUCE departments is $484,055,014|2024-01-09 14:46:04.102812
17811|The total sales in the Last Complete Year timeframe in the GM DELI departments is $316,443,145|2024-01-09 14:46:04.587700
17812|The total sales in the Last Complete Year timeframe in the GM BAKERY departments is $168,059,992|2024-01-09 14:46:04.814246
17813|The total sales in the Last Complete Year timeframe in the GM MEAT departments is $499,326,430|2024-01-09 14:46:05.013950
17814|The total sales in the Last Complete Year timeframe in the GM GROCERY departments is $1,930,192,515|2024-01-09 14:46:05.220553
17815|The total sales in the Last Complete Year timeframe in the GM PHARMACY departments is $453,312,680|2024-01-09 14:46:05.399169
17816|The total sales in the Last Complete Year timeframe in the GM HBC departments is $182,913,287|2024-01-09 14:46:05.675295
17817|The total sales in the Last Complete Year timeframe in the PRODUCE DELI departments is $663,456,027|2024-01-09 14:46:05.849613
17818|The total sales in the Last Complete Year timeframe in the PRODUCE BAKERY departments is $515,072,875|2024-01-09 14:46:06.032468
17819|The total sales in the Last Complete Year timeframe in the PRODUCE MEAT departments is $846,339,312|2024-01-09 14:46:06.205750
17820|The total sales in the Last Complete Year timeframe in the PRODUCE GROCERY departments is $2,277,205,397|2024-01-09 14:46:06.379254
17821|The total sales in the Last Complete Year timeframe in the PRODUCE PHARMACY departments is $800,325,562|2024-01-09 14:46:06.608763
17822|The total sales in the Last Complete Year timeframe in the PRODUCE HBC departments is $529,926,169|2024-01-09 14:46:06.864887
17823|The total sales in the Last Complete Year timeframe in the DELI BAKERY departments is $347,461,006|2024-01-09 14:46:07.046512
17824|The total sales in the Last Complete Year timeframe in the DELI MEAT departments is $678,727,443|2024-01-09 14:46:07.274000
17825|The total sales in the Last Complete Year timeframe in the DELI GROCERY departments is $2,109,593,528|2024-01-09 14:46:07.476812
17826|The total sales in the Last Complete Year timeframe in the DELI PHARMACY departments is $632,713,693|2024-01-09 14:46:07.788168
17827|The total sales in the Last Complete Year timeframe in the DELI HBC departments is $362,314,300|2024-01-09 14:46:07.984556
17828|The total sales in the Last Complete Year timeframe in the BAKERY MEAT departments is $530,344,290|2024-01-09 14:46:08.307721
17829|The total sales in the Last Complete Year timeframe in the BAKERY GROCERY departments is $1,961,210,375|2024-01-09 14:46:08.486038
17830|The total sales in the Last Complete Year timeframe in the BAKERY PHARMACY departments is $484,330,541|2024-01-09 14:46:08.707746
17831|The total sales in the Last Complete Year timeframe in the BAKERY HBC departments is $213,931,147|2024-01-09 14:46:08.908138
17832|The total sales in the Last Complete Year timeframe in the MEAT GROCERY departments is $2,292,476,812|2024-01-09 14:46:09.124222
17833|The total sales in the Last Complete Year timeframe in the MEAT PHARMACY departments is $815,596,978|2024-01-09 14:46:09.322248
17834|The total sales in the Last Complete Year timeframe in the MEAT HBC departments is $545,197,585|2024-01-09 14:46:09.516283
17835|The total sales in the Last Complete Year timeframe in the GROCERY PHARMACY departments is $2,246,463,063|2024-01-09 14:46:09.730991
17836|The total sales in the Last Complete Year timeframe in the GROCERY HBC departments is $1,976,063,669|2024-01-09 14:46:09.936315
17837|The total sales in the Last Complete Year timeframe in the PHARMACY HBC departments is $499,183,835|2024-01-09 14:46:10.094477
17838|The total sales in the Period to Date timeframe in the FLORAL SEAFOOD departments is $243,113|2024-01-09 14:46:10.346314
17839|The total sales in the Period to Date timeframe in the FLORAL GM departments is $165,554|2024-01-09 14:46:10.544300
17840|The total sales in the Period to Date timeframe in the FLORAL PRODUCE departments is $1,054,666|2024-01-09 14:46:10.737499
17841|The total sales in the Period to Date timeframe in the FLORAL DELI departments is $646,993|2024-01-09 14:46:11.044390
17842|The total sales in the Period to Date timeframe in the FLORAL BAKERY departments is $269,392|2024-01-09 14:46:11.271067
17843|The total sales in the Period to Date timeframe in the FLORAL MEAT departments is $1,001,201|2024-01-09 14:46:11.467218
17844|The total sales in the Period to Date timeframe in the FLORAL GROCERY departments is $4,734,492|2024-01-09 14:46:11.678886
17845|The total sales in the Period to Date timeframe in the FLORAL PHARMACY departments is $1,664,753|2024-01-09 14:46:11.850927
17846|The total sales in the Period to Date timeframe in the FLORAL HBC departments is $367,032|2024-01-09 14:46:12.072990
17847|The total sales in the Period to Date timeframe in the SEAFOOD GM departments is $306,099|2024-01-09 14:46:12.292785
17848|The total sales in the Period to Date timeframe in the SEAFOOD PRODUCE departments is $1,195,211|2024-01-09 14:46:12.455718
17849|The total sales in the Period to Date timeframe in the SEAFOOD DELI departments is $787,539|2024-01-09 14:46:12.692058
17850|The total sales in the Period to Date timeframe in the SEAFOOD BAKERY departments is $409,937|2024-01-09 14:46:12.906639
17851|The total sales in the Period to Date timeframe in the SEAFOOD MEAT departments is $1,141,746|2024-01-09 14:46:13.098444
17852|The total sales in the Period to Date timeframe in the SEAFOOD GROCERY departments is $4,875,037|2024-01-09 14:46:13.315412
17853|The total sales in the Period to Date timeframe in the SEAFOOD PHARMACY departments is $1,805,298|2024-01-09 14:46:13.518083
17854|The total sales in the Period to Date timeframe in the SEAFOOD HBC departments is $507,577|2024-01-09 14:46:13.831478
17855|The total sales in the Period to Date timeframe in the GM PRODUCE departments is $1,117,652|2024-01-09 14:46:14.002843
17856|The total sales in the Period to Date timeframe in the GM DELI departments is $709,979|2024-01-09 14:46:14.240678
17857|The total sales in the Period to Date timeframe in the GM BAKERY departments is $332,378|2024-01-09 14:46:14.538462
17858|The total sales in the Period to Date timeframe in the GM MEAT departments is $1,064,187|2024-01-09 14:46:14.742244
17859|The total sales in the Period to Date timeframe in the GM GROCERY departments is $4,797,478|2024-01-09 14:46:15.052883
17860|The total sales in the Period to Date timeframe in the GM PHARMACY departments is $1,727,739|2024-01-09 14:46:15.257728
17861|The total sales in the Period to Date timeframe in the GM HBC departments is $430,018|2024-01-09 14:46:15.468586
17862|The total sales in the Period to Date timeframe in the PRODUCE DELI departments is $1,599,091|2024-01-09 14:46:15.776319
17863|The total sales in the Period to Date timeframe in the PRODUCE BAKERY departments is $1,221,490|2024-01-09 14:46:15.949122
17864|The total sales in the Period to Date timeframe in the PRODUCE MEAT departments is $1,953,299|2024-01-09 14:46:16.153072
17865|The total sales in the Period to Date timeframe in the PRODUCE GROCERY departments is $5,686,590|2024-01-09 14:46:16.319696
17866|The total sales in the Period to Date timeframe in the PRODUCE PHARMACY departments is $2,616,851|2024-01-09 14:46:16.591044
17867|The total sales in the Period to Date timeframe in the PRODUCE HBC departments is $1,319,130|2024-01-09 14:46:16.796767
17868|The total sales in the Period to Date timeframe in the DELI BAKERY departments is $813,817|2024-01-09 14:46:17.002272
17869|The total sales in the Period to Date timeframe in the DELI MEAT departments is $1,545,626|2024-01-09 14:46:17.201543
17870|The total sales in the Period to Date timeframe in the DELI GROCERY departments is $5,278,917|2024-01-09 14:46:17.391131
17871|The total sales in the Period to Date timeframe in the DELI PHARMACY departments is $2,209,178|2024-01-09 14:46:17.564519
17872|The total sales in the Period to Date timeframe in the DELI HBC departments is $911,458|2024-01-09 14:46:17.812487
17873|The total sales in the Period to Date timeframe in the BAKERY MEAT departments is $1,168,024|2024-01-09 14:46:18.004174
17874|The total sales in the Period to Date timeframe in the BAKERY GROCERY departments is $4,901,315|2024-01-09 14:46:18.255186
17875|The total sales in the Period to Date timeframe in the BAKERY PHARMACY departments is $1,831,576|2024-01-09 14:46:18.540199
17876|The total sales in the Period to Date timeframe in the BAKERY HBC departments is $533,856|2024-01-09 14:46:18.740740
17877|The total sales in the Period to Date timeframe in the MEAT GROCERY departments is $5,633,124|2024-01-09 14:46:18.941444
17878|The total sales in the Period to Date timeframe in the MEAT PHARMACY departments is $2,563,386|2024-01-09 14:46:19.146174
17879|The total sales in the Period to Date timeframe in the MEAT HBC departments is $1,265,665|2024-01-09 14:46:19.360926
17880|The total sales in the Period to Date timeframe in the GROCERY PHARMACY departments is $6,296,676|2024-01-09 14:46:19.549672
17881|The total sales in the Period to Date timeframe in the GROCERY HBC departments is $4,998,956|2024-01-09 14:46:19.760742
17882|The total sales in the Period to Date timeframe in the PHARMACY HBC departments is $1,929,217|2024-01-09 14:46:20.404758
17883|The total sales in the Period to Date timeframe in the FLORAL SEAFOOD departments is $243,113|2024-01-09 14:46:20.498618
17884|The total sales in the Period to Date timeframe in the FLORAL GM departments is $165,554|2024-01-09 14:46:20.629382
17885|The total sales in the Period to Date timeframe in the FLORAL PRODUCE departments is $1,054,666|2024-01-09 14:46:20.767985
17886|The total sales in the Period to Date timeframe in the FLORAL DELI departments is $646,993|2024-01-09 14:46:20.858163
17887|The total sales in the Period to Date timeframe in the FLORAL BAKERY departments is $269,392|2024-01-09 14:46:20.967610
17888|The total sales in the Period to Date timeframe in the FLORAL MEAT departments is $1,001,201|2024-01-09 14:46:21.090966
17889|The total sales in the Period to Date timeframe in the FLORAL GROCERY departments is $4,734,492|2024-01-09 14:46:21.187004
17890|The total sales in the Period to Date timeframe in the FLORAL PHARMACY departments is $1,664,753|2024-01-09 14:46:21.330178
17891|The total sales in the Period to Date timeframe in the FLORAL HBC departments is $367,032|2024-01-09 14:46:21.462514
17892|The total sales in the Period to Date timeframe in the SEAFOOD GM departments is $306,099|2024-01-09 14:46:21.542157
17893|The total sales in the Period to Date timeframe in the SEAFOOD PRODUCE departments is $1,195,211|2024-01-09 14:46:21.640958
17894|The total sales in the Period to Date timeframe in the SEAFOOD DELI departments is $787,539|2024-01-09 14:46:21.734047
17895|The total sales in the Period to Date timeframe in the SEAFOOD BAKERY departments is $409,937|2024-01-09 14:46:21.828587
17896|The total sales in the Period to Date timeframe in the SEAFOOD MEAT departments is $1,141,746|2024-01-09 14:46:21.963472
17897|The total sales in the Period to Date timeframe in the SEAFOOD GROCERY departments is $4,875,037|2024-01-09 14:46:22.122284
17898|The total sales in the Period to Date timeframe in the SEAFOOD PHARMACY departments is $1,805,298|2024-01-09 14:46:22.200513
17899|The total sales in the Period to Date timeframe in the SEAFOOD HBC departments is $507,577|2024-01-09 14:46:22.303846
17900|The total sales in the Period to Date timeframe in the GM PRODUCE departments is $1,117,652|2024-01-09 14:46:22.393107
17901|The total sales in the Period to Date timeframe in the GM DELI departments is $709,979|2024-01-09 14:46:22.474746
17902|The total sales in the Period to Date timeframe in the GM BAKERY departments is $332,378|2024-01-09 14:46:22.584708
17903|The total sales in the Period to Date timeframe in the GM MEAT departments is $1,064,187|2024-01-09 14:46:22.679252
17904|The total sales in the Period to Date timeframe in the GM GROCERY departments is $4,797,478|2024-01-09 14:46:22.805706
17905|The total sales in the Period to Date timeframe in the GM PHARMACY departments is $1,727,739|2024-01-09 14:46:22.900303
17906|The total sales in the Period to Date timeframe in the GM HBC departments is $430,018|2024-01-09 14:46:23.003503
17907|The total sales in the Period to Date timeframe in the PRODUCE DELI departments is $1,599,091|2024-01-09 14:46:23.082666
17908|The total sales in the Period to Date timeframe in the PRODUCE BAKERY departments is $1,221,490|2024-01-09 14:46:23.240529
17909|The total sales in the Period to Date timeframe in the PRODUCE MEAT departments is $1,953,299|2024-01-09 14:46:23.355713
17910|The total sales in the Period to Date timeframe in the PRODUCE GROCERY departments is $5,686,590|2024-01-09 14:46:23.471808
17911|The total sales in the Period to Date timeframe in the PRODUCE PHARMACY departments is $2,616,851|2024-01-09 14:46:23.556164
17912|The total sales in the Period to Date timeframe in the PRODUCE HBC departments is $1,319,130|2024-01-09 14:46:23.646307
17913|The total sales in the Period to Date timeframe in the DELI BAKERY departments is $813,817|2024-01-09 14:46:23.726331
17914|The total sales in the Period to Date timeframe in the DELI MEAT departments is $1,545,626|2024-01-09 14:46:23.823089
17915|The total sales in the Period to Date timeframe in the DELI GROCERY departments is $5,278,917|2024-01-09 14:46:23.900597
17916|The total sales in the Period to Date timeframe in the DELI PHARMACY departments is $2,209,178|2024-01-09 14:46:24.011360
17917|The total sales in the Period to Date timeframe in the DELI HBC departments is $911,458|2024-01-09 14:46:24.099225
17918|The total sales in the Period to Date timeframe in the BAKERY MEAT departments is $1,168,024|2024-01-09 14:46:24.186180
17919|The total sales in the Period to Date timeframe in the BAKERY GROCERY departments is $4,901,315|2024-01-09 14:46:24.265887
17920|The total sales in the Period to Date timeframe in the BAKERY PHARMACY departments is $1,831,576|2024-01-09 14:46:24.393184
17921|The total sales in the Period to Date timeframe in the BAKERY HBC departments is $533,856|2024-01-09 14:46:24.471878
17922|The total sales in the Period to Date timeframe in the MEAT GROCERY departments is $5,633,124|2024-01-09 14:46:24.560011
17923|The total sales in the Period to Date timeframe in the MEAT PHARMACY departments is $2,563,386|2024-01-09 14:46:24.660031
17924|The total sales in the Period to Date timeframe in the MEAT HBC departments is $1,265,665|2024-01-09 14:46:24.750979
17925|The total sales in the Period to Date timeframe in the GROCERY PHARMACY departments is $6,296,676|2024-01-09 14:46:24.844467
17926|The total sales in the Period to Date timeframe in the GROCERY HBC departments is $4,998,956|2024-01-09 14:46:24.923558
17927|The total sales in the Period to Date timeframe in the PHARMACY HBC departments is $1,929,217|2024-01-09 14:46:25.017849
17928|The total sales in the Rolling 13 Weeks timeframe in the FLORAL SEAFOOD departments is $31,568,394|2024-01-09 14:46:25.498519
17929|The total sales in the Rolling 13 Weeks timeframe in the FLORAL GM departments is $23,847,375|2024-01-09 14:46:25.821843
17930|The total sales in the Rolling 13 Weeks timeframe in the FLORAL PRODUCE departments is $102,781,786|2024-01-09 14:46:26.010851
17931|The total sales in the Rolling 13 Weeks timeframe in the FLORAL DELI departments is $69,637,020|2024-01-09 14:46:26.206360
17932|The total sales in the Rolling 13 Weeks timeframe in the FLORAL BAKERY departments is $35,483,688|2024-01-09 14:46:26.380242
17933|The total sales in the Rolling 13 Weeks timeframe in the FLORAL MEAT departments is $111,112,845|2024-01-09 14:46:26.640074
17934|The total sales in the Rolling 13 Weeks timeframe in the FLORAL GROCERY departments is $472,790,763|2024-01-09 14:46:26.817545
17935|The total sales in the Rolling 13 Weeks timeframe in the FLORAL PHARMACY departments is $118,765,595|2024-01-09 14:46:27.023629
17936|The total sales in the Rolling 13 Weeks timeframe in the FLORAL HBC departments is $36,494,329|2024-01-09 14:46:27.238143
17937|The total sales in the Rolling 13 Weeks timeframe in the SEAFOOD GM departments is $37,641,382|2024-01-09 14:46:27.444267
17938|The total sales in the Rolling 13 Weeks timeframe in the SEAFOOD PRODUCE departments is $116,575,793|2024-01-09 14:46:27.650435
17939|The total sales in the Rolling 13 Weeks timeframe in the SEAFOOD DELI departments is $83,431,027|2024-01-09 14:46:27.823488
17940|The total sales in the Rolling 13 Weeks timeframe in the SEAFOOD BAKERY departments is $49,277,695|2024-01-09 14:46:28.061768
17941|The total sales in the Rolling 13 Weeks timeframe in the SEAFOOD MEAT departments is $124,906,852|2024-01-09 14:46:28.332023
17942|The total sales in the Rolling 13 Weeks timeframe in the SEAFOOD GROCERY departments is $486,584,770|2024-01-09 14:46:28.571277
17943|The total sales in the Rolling 13 Weeks timeframe in the SEAFOOD PHARMACY departments is $132,559,602|2024-01-09 14:46:28.785960
17944|The total sales in the Rolling 13 Weeks timeframe in the SEAFOOD HBC departments is $50,288,337|2024-01-09 14:46:28.990962
17945|The total sales in the Rolling 13 Weeks timeframe in the GM PRODUCE departments is $108,854,774|2024-01-09 14:46:29.184898
17946|The total sales in the Rolling 13 Weeks timeframe in the GM DELI departments is $75,710,008|2024-01-09 14:46:29.489700
17947|The total sales in the Rolling 13 Weeks timeframe in the GM BAKERY departments is $41,556,676|2024-01-09 14:46:29.698105
17948|The total sales in the Rolling 13 Weeks timeframe in the GM MEAT departments is $117,185,833|2024-01-09 14:46:29.875790
17949|The total sales in the Rolling 13 Weeks timeframe in the GM GROCERY departments is $478,863,751|2024-01-09 14:46:30.098288
17950|The total sales in the Rolling 13 Weeks timeframe in the GM PHARMACY departments is $124,838,583|2024-01-09 14:46:30.313328
17951|The total sales in the Rolling 13 Weeks timeframe in the GM HBC departments is $42,567,317|2024-01-09 14:46:30.504711
17952|The total sales in the Rolling 13 Weeks timeframe in the PRODUCE DELI departments is $154,644,419|2024-01-09 14:46:30.712412
17953|The total sales in the Rolling 13 Weeks timeframe in the PRODUCE BAKERY departments is $120,491,087|2024-01-09 14:46:30.926058
17954|The total sales in the Rolling 13 Weeks timeframe in the PRODUCE MEAT departments is $196,120,244|2024-01-09 14:46:31.131293
17955|The total sales in the Rolling 13 Weeks timeframe in the PRODUCE GROCERY departments is $557,798,162|2024-01-09 14:46:31.346501
17956|The total sales in the Rolling 13 Weeks timeframe in the PRODUCE PHARMACY departments is $203,772,994|2024-01-09 14:46:31.647323
17957|The total sales in the Rolling 13 Weeks timeframe in the PRODUCE HBC departments is $121,501,728|2024-01-09 14:46:31.819744
17958|The total sales in the Rolling 13 Weeks timeframe in the DELI BAKERY departments is $87,346,321|2024-01-09 14:46:32.016828
17959|The total sales in the Rolling 13 Weeks timeframe in the DELI MEAT departments is $162,975,478|2024-01-09 14:46:32.254190
17960|The total sales in the Rolling 13 Weeks timeframe in the DELI GROCERY departments is $524,653,396|2024-01-09 14:46:32.463281
17961|The total sales in the Rolling 13 Weeks timeframe in the DELI PHARMACY departments is $170,628,228|2024-01-09 14:46:32.659268
17962|The total sales in the Rolling 13 Weeks timeframe in the DELI HBC departments is $88,356,962|2024-01-09 14:46:32.833203
17963|The total sales in the Rolling 13 Weeks timeframe in the BAKERY MEAT departments is $128,822,146|2024-01-09 14:46:33.079872
17964|The total sales in the Rolling 13 Weeks timeframe in the BAKERY GROCERY departments is $490,500,064|2024-01-09 14:46:33.388141
17965|The total sales in the Rolling 13 Weeks timeframe in the BAKERY PHARMACY departments is $136,474,896|2024-01-09 14:46:33.588603
17966|The total sales in the Rolling 13 Weeks timeframe in the BAKERY HBC departments is $54,203,630|2024-01-09 14:46:33.791295
17967|The total sales in the Rolling 13 Weeks timeframe in the MEAT GROCERY departments is $566,129,221|2024-01-09 14:46:33.997410
17968|The total sales in the Rolling 13 Weeks timeframe in the MEAT PHARMACY departments is $212,104,052|2024-01-09 14:46:34.179499
17969|The total sales in the Rolling 13 Weeks timeframe in the MEAT HBC departments is $129,832,787|2024-01-09 14:46:34.354365
17970|The total sales in the Rolling 13 Weeks timeframe in the GROCERY PHARMACY departments is $573,781,971|2024-01-09 14:46:34.615704
17971|The total sales in the Rolling 13 Weeks timeframe in the GROCERY HBC departments is $491,510,705|2024-01-09 14:46:34.808845
17972|The total sales in the Rolling 13 Weeks timeframe in the PHARMACY HBC departments is $137,485,537|2024-01-09 14:46:35.025168
17973|The total sales in the Last Complete Week timeframe in the FLORAL SEAFOOD departments is $2,035,155|2024-01-09 14:46:35.221029
17974|The total sales in the Last Complete Week timeframe in the FLORAL GM departments is $1,371,048|2024-01-09 14:46:35.472086
17975|The total sales in the Last Complete Week timeframe in the FLORAL PRODUCE departments is $8,205,524|2024-01-09 14:46:35.748684
17976|The total sales in the Last Complete Week timeframe in the FLORAL DELI departments is $4,955,429|2024-01-09 14:46:35.937661
17977|The total sales in the Last Complete Week timeframe in the FLORAL BAKERY departments is $2,116,303|2024-01-09 14:46:36.112917
17978|The total sales in the Last Complete Week timeframe in the FLORAL MEAT departments is $8,955,863|2024-01-09 14:46:36.373528
17979|The total sales in the Last Complete Week timeframe in the FLORAL GROCERY departments is $36,522,762|2024-01-09 14:46:36.560557
17980|The total sales in the Last Complete Week timeframe in the FLORAL PHARMACY departments is $7,716,076|2024-01-09 14:46:36.768859
17981|The total sales in the Last Complete Week timeframe in the FLORAL HBC departments is $2,762,793|2024-01-09 14:46:36.947344
17982|The total sales in the Last Complete Week timeframe in the SEAFOOD GM departments is $2,602,896|2024-01-09 14:46:37.164311
17983|The total sales in the Last Complete Week timeframe in the SEAFOOD PRODUCE departments is $9,437,373|2024-01-09 14:46:37.349922
17984|The total sales in the Last Complete Week timeframe in the SEAFOOD DELI departments is $6,187,278|2024-01-09 14:46:37.525971
17985|The total sales in the Last Complete Week timeframe in the SEAFOOD BAKERY departments is $3,348,152|2024-01-09 14:46:37.699958
17986|The total sales in the Last Complete Week timeframe in the SEAFOOD MEAT departments is $10,187,711|2024-01-09 14:46:37.882161
17987|The total sales in the Last Complete Week timeframe in the SEAFOOD GROCERY departments is $37,754,610|2024-01-09 14:46:38.098363
17988|The total sales in the Last Complete Week timeframe in the SEAFOOD PHARMACY departments is $8,947,925|2024-01-09 14:46:38.301200
17989|The total sales in the Last Complete Week timeframe in the SEAFOOD HBC departments is $3,994,642|2024-01-09 14:46:38.481878
17990|The total sales in the Last Complete Week timeframe in the GM PRODUCE departments is $8,773,266|2024-01-09 14:46:38.814177
17991|The total sales in the Last Complete Week timeframe in the GM DELI departments is $5,523,171|2024-01-09 14:46:39.003764
17992|The total sales in the Last Complete Week timeframe in the GM BAKERY departments is $2,684,045|2024-01-09 14:46:39.325530
17993|The total sales in the Last Complete Week timeframe in the GM MEAT departments is $9,523,604|2024-01-09 14:46:39.631699
17994|The total sales in the Last Complete Week timeframe in the GM GROCERY departments is $37,090,503|2024-01-09 14:46:39.820126
17995|The total sales in the Last Complete Week timeframe in the GM PHARMACY departments is $8,283,818|2024-01-09 14:46:40.033902
17996|The total sales in the Last Complete Week timeframe in the GM HBC departments is $3,330,535|2024-01-09 14:46:40.337896
17997|The total sales in the Last Complete Week timeframe in the PRODUCE DELI departments is $12,357,647|2024-01-09 14:46:40.648266
17998|The total sales in the Last Complete Week timeframe in the PRODUCE BAKERY departments is $9,518,521|2024-01-09 14:46:40.822309
17999|The total sales in the Last Complete Week timeframe in the PRODUCE MEAT departments is $16,358,081|2024-01-09 14:46:41.061764
18000|The total sales in the Last Complete Week timeframe in the PRODUCE GROCERY departments is $43,924,980|2024-01-09 14:46:41.268146
18001|The total sales in the Last Complete Week timeframe in the PRODUCE PHARMACY departments is $15,118,294|2024-01-09 14:46:41.475798
18002|The total sales in the Last Complete Week timeframe in the PRODUCE HBC departments is $10,165,011|2024-01-09 14:46:41.681487
18003|The total sales in the Last Complete Week timeframe in the DELI BAKERY departments is $6,268,427|2024-01-09 14:46:41.987620
18004|The total sales in the Last Complete Week timeframe in the DELI MEAT departments is $13,107,986|2024-01-09 14:46:42.294813
18005|The total sales in the Last Complete Week timeframe in the DELI GROCERY departments is $40,674,885|2024-01-09 14:46:42.485331
18006|The total sales in the Last Complete Week timeframe in the DELI PHARMACY departments is $11,868,199|2024-01-09 14:46:42.699784
18007|The total sales in the Last Complete Week timeframe in the DELI HBC departments is $6,914,916|2024-01-09 14:46:42.909878
18008|The total sales in the Last Complete Week timeframe in the BAKERY MEAT departments is $10,268,860|2024-01-09 14:46:43.197577
18009|The total sales in the Last Complete Week timeframe in the BAKERY GROCERY departments is $37,835,759|2024-01-09 14:46:43.385919
18010|The total sales in the Last Complete Week timeframe in the BAKERY PHARMACY departments is $9,029,074|2024-01-09 14:46:43.560188
18011|The total sales in the Last Complete Week timeframe in the BAKERY HBC departments is $4,075,791|2024-01-09 14:46:43.835690
18012|The total sales in the Last Complete Week timeframe in the MEAT GROCERY departments is $44,675,318|2024-01-09 14:46:44.023386
18013|The total sales in the Last Complete Week timeframe in the MEAT PHARMACY departments is $15,868,633|2024-01-09 14:46:44.229642
18014|The total sales in the Last Complete Week timeframe in the MEAT HBC departments is $10,915,350|2024-01-09 14:46:44.410340
18015|The total sales in the Last Complete Week timeframe in the GROCERY PHARMACY departments is $43,435,532|2024-01-09 14:46:44.652669
18016|The total sales in the Last Complete Week timeframe in the GROCERY HBC departments is $38,482,249|2024-01-09 14:46:44.819640
18017|The total sales in the Last Complete Week timeframe in the PHARMACY HBC departments is $9,675,563|2024-01-09 14:46:45.006137
18018|The total sales in the Last Complete Week timeframe in the FLORAL SEAFOOD departments is $2,035,155|2024-01-09 14:46:45.102072
18019|The total sales in the Last Complete Week timeframe in the FLORAL GM departments is $1,371,048|2024-01-09 14:46:45.197236
18020|The total sales in the Last Complete Week timeframe in the FLORAL PRODUCE departments is $8,205,524|2024-01-09 14:46:45.282776
18021|The total sales in the Last Complete Week timeframe in the FLORAL DELI departments is $4,955,429|2024-01-09 14:46:45.370439
18022|The total sales in the Last Complete Week timeframe in the FLORAL BAKERY departments is $2,116,303|2024-01-09 14:46:45.473105
18023|The total sales in the Last Complete Week timeframe in the FLORAL MEAT departments is $8,955,863|2024-01-09 14:46:45.567629
18024|The total sales in the Last Complete Week timeframe in the FLORAL GROCERY departments is $36,522,762|2024-01-09 14:46:45.646268
18025|The total sales in the Last Complete Week timeframe in the FLORAL PHARMACY departments is $7,716,076|2024-01-09 14:46:45.742336
18026|The total sales in the Last Complete Week timeframe in the FLORAL HBC departments is $2,762,793|2024-01-09 14:46:45.829336
18027|The total sales in the Last Complete Week timeframe in the SEAFOOD GM departments is $2,602,896|2024-01-09 14:46:45.927318
