SK|RESULT_CACHE|RESULT_CACHE_TS
3665|The sell-thru for HOME in FORTWORTH,TX is 47.4%.|2023-08-30 17:54:24.835749
3666|The sell-thru for HOME in BLOOMNGTN,IL is 45.9%.|2023-08-30 17:54:24.946501
3667|The sell-thru for HOME in AUSTIN,TX is 44.5%.|2023-08-30 17:54:25.072053
3668|The sell-thru for HOME in MACON,GA is 44.4%.|2023-08-30 17:54:25.178680
3669|The sell-thru for HOME in WACO,TX is 44.7%.|2023-08-30 17:54:25.273843
3670|The sell-thru for HOME in BRICK,NJ is 44. %.|2023-08-30 17:54:25.375348
3671|The sell-thru for HOME in MANCHESTER ,NH is 45.3%.|2023-08-30 17:54:25.501908
3672|The sell-thru for HOME in CONCORD,NH is 46.6%.|2023-08-30 17:54:25.675767
3673|The sell-thru for HOME in ROCKSPRNG,WY is 45.6%.|2023-08-30 17:54:25.772328
3674|The sell-thru for HOME in KNOXVILLE,TN is 46.2%.|2023-08-30 17:54:25.872273
3675|The sell-thru for HOME in OLYMPIA,WA is 45.6%.|2023-08-30 17:54:25.972478
3676|The sell-thru for HOME in BILOXI,MI is 46. %.|2023-08-30 17:54:26.075658
3677|There are 953 units of OTHER family products on-hand in PORTLAND,OR.|2023-08-30 17:54:26.165041
3678|There are 2,217 units of OTHER family products on-hand in HOUSTON,TX.|2023-08-30 17:54:26.260664
3679|There are 1,797 units of OTHER family products on-hand in FLAGSTAFF,AZ.|2023-08-30 17:54:26.353591
3680|There are 603 units of OTHER family products on-hand in BATONROUGE,LA.|2023-08-30 17:54:26.451829
3681|There are 418 units of OTHER family products on-hand in JACKSON,MI.|2023-08-30 17:54:26.545928
3682|There are 1,967 units of OTHER family products on-hand in COLUMBUS,IN.|2023-08-30 17:54:26.641482
3683|There are 1,210 units of OTHER family products on-hand in EUGENE,OR.|2023-08-30 17:54:26.742161
3684|There are 630 units of OTHER family products on-hand in NEWORLEANS,LA.|2023-08-30 17:54:27.230804
3685|There are 1,050 units of OTHER family products on-hand in BIRMINGHAM,AL.|2023-08-30 17:54:27.316988
3686|There are 599 units of OTHER family products on-hand in SAN DIEGO,CA.|2023-08-30 17:54:27.422561
3687|There are 694 units of OTHER family products on-hand in HERSHEY,PA.|2023-08-30 17:54:27.517434
3688|There are 876 units of OTHER family products on-hand in ELPASO,TX.|2023-08-30 17:54:27.612888
3689|There are 747 units of OTHER family products on-hand in LANCASTER,PA.|2023-08-30 17:54:27.722536
3690|There are 399 units of OTHER family products on-hand in MIDDLETOWN,WV.|2023-08-30 17:54:27.817163
3691|There are 869 units of OTHER family products on-hand in SEATTLE,WA.|2023-08-30 17:54:27.912236
3692|There are 825 units of OTHER family products on-hand in PITTSBURGH,PA.|2023-08-30 17:54:28.021154
3693|There are 1,176 units of OTHER family products on-hand in KOKOMO,IN.|2023-08-30 17:54:28.194492
3694|There are 1,034 units of OTHER family products on-hand in PHILADELPHIA,PA.|2023-08-30 17:54:28.289290
3695|There are 869 units of OTHER family products on-hand in YORK,PA.|2023-08-30 17:54:28.388596
3696|There are 1,085 units of OTHER family products on-hand in HUNTSVILLE,AL.|2023-08-30 17:54:28.489402
3697|There are 775 units of OTHER family products on-hand in DALLAS,TX.|2023-08-30 17:54:28.584085
3698|There are 545 units of OTHER family products on-hand in EUREKA,CA.|2023-08-30 17:54:28.686322
3699|There are 658 units of OTHER family products on-hand in TACOMA,WA.|2023-08-30 17:54:28.812744
3700|There are 1,046 units of OTHER family products on-hand in PERU,IL.|2023-08-30 17:54:28.939932
3701|There are 990 units of OTHER family products on-hand in HARTFORD,CT.|2023-08-30 17:54:29.043913
3702|There are 783 units of OTHER family products on-hand in FORTWORTH,TX.|2023-08-30 17:54:29.153764
3703|There are 1,654 units of OTHER family products on-hand in BLOOMNGTN,IL.|2023-08-30 17:54:29.248669
3704|There are 439 units of OTHER family products on-hand in AUSTIN,TX.|2023-08-30 17:54:29.344808
3705|There are 985 units of OTHER family products on-hand in MACON,GA.|2023-08-30 17:54:29.502838
3706|There are 736 units of OTHER family products on-hand in WACO,TX.|2023-08-30 17:54:29.603466
3707|There are 384 units of OTHER family products on-hand in BRICK,NJ.|2023-08-30 17:54:29.697728
3708|There are 800 units of OTHER family products on-hand in MANCHESTER ,NH.|2023-08-30 17:54:29.793535
3709|There are 864 units of OTHER family products on-hand in CONCORD,NH.|2023-08-30 17:54:29.887962
3710|There are 1,082 units of OTHER family products on-hand in ROCKSPRNG,WY.|2023-08-30 17:54:29.999286
3711|There are 614 units of OTHER family products on-hand in KNOXVILLE,TN.|2023-08-30 17:54:30.103803
3712|There are 736 units of OTHER family products on-hand in OLYMPIA,WA.|2023-08-30 17:54:30.215803
3713|There are 610 units of OTHER family products on-hand in BILOXI,MI.|2023-08-30 17:54:30.325822
3714|There are 4,103 units of MENS family products on-hand in PORTLAND,OR.|2023-08-30 17:54:30.438739
3715|There are 4,943 units of MENS family products on-hand in HOUSTON,TX.|2023-08-30 17:54:30.534849
3716|There are 3,917 units of MENS family products on-hand in FLAGSTAFF,AZ.|2023-08-30 17:54:30.622003
3717|There are 3,323 units of MENS family products on-hand in BATONROUGE,LA.|2023-08-30 17:54:30.715975
3718|There are 3,400 units of MENS family products on-hand in JACKSON,MI.|2023-08-30 17:54:30.825549
3719|There are 7,575 units of MENS family products on-hand in COLUMBUS,IN.|2023-08-30 17:54:30.904564
3720|There are 4,277 units of MENS family products on-hand in EUGENE,OR.|2023-08-30 17:54:30.999933
3721|There are 4,865 units of MENS family products on-hand in NEWORLEANS,LA.|2023-08-30 17:54:31.111287
3722|There are 5,346 units of MENS family products on-hand in BIRMINGHAM,AL.|2023-08-30 17:54:31.186205
3723|There are 4,507 units of MENS family products on-hand in SAN DIEGO,CA.|2023-08-30 17:54:31.296146
3724|There are 5,028 units of MENS family products on-hand in HERSHEY,PA.|2023-08-30 17:54:31.390780
3725|There are 3,846 units of MENS family products on-hand in ELPASO,TX.|2023-08-30 17:54:31.488564
3726|There are 5,159 units of MENS family products on-hand in LANCASTER,PA.|2023-08-30 17:54:31.571033
3727|There are 5,290 units of MENS family products on-hand in MIDDLETOWN,WV.|2023-08-30 17:54:31.673296
3728|There are 3,379 units of MENS family products on-hand in SEATTLE,WA.|2023-08-30 17:54:31.769198
3729|There are 3,946 units of MENS family products on-hand in PITTSBURGH,PA.|2023-08-30 17:54:31.864198
3730|There are 3,207 units of MENS family products on-hand in KOKOMO,IN.|2023-08-30 17:54:31.974465
3731|There are 4,753 units of MENS family products on-hand in PHILADELPHIA,PA.|2023-08-30 17:54:32.064554
3732|There are 3,573 units of MENS family products on-hand in YORK,PA.|2023-08-30 17:54:32.180866
3733|There are 3,636 units of MENS family products on-hand in HUNTSVILLE,AL.|2023-08-30 17:54:32.269497
3734|There are 3,369 units of MENS family products on-hand in DALLAS,TX.|2023-08-30 17:54:32.369461
3735|There are 4,609 units of MENS family products on-hand in EUREKA,CA.|2023-08-30 17:54:32.495996
3736|There are 5,083 units of MENS family products on-hand in TACOMA,WA.|2023-08-30 17:54:32.591456
3737|There are 4,710 units of MENS family products on-hand in PERU,IL.|2023-08-30 17:54:32.703773
3738|There are 5,653 units of MENS family products on-hand in HARTFORD,CT.|2023-08-30 17:54:32.801966
3739|There are 3,897 units of MENS family products on-hand in FORTWORTH,TX.|2023-08-30 17:54:32.975723
3740|There are 7,365 units of MENS family products on-hand in BLOOMNGTN,IL.|2023-08-30 17:54:33.090075
3741|There are 4,781 units of MENS family products on-hand in AUSTIN,TX.|2023-08-30 17:54:33.190101
3742|There are 5,978 units of MENS family products on-hand in MACON,GA.|2023-08-30 17:54:33.290509
3743|There are 5,348 units of MENS family products on-hand in WACO,TX.|2023-08-30 17:54:33.390605
3744|There are 4,393 units of MENS family products on-hand in BRICK,NJ.|2023-08-30 17:54:33.490912
3745|There are 4,929 units of MENS family products on-hand in MANCHESTER ,NH.|2023-08-30 17:54:33.587459
3746|There are 4,329 units of MENS family products on-hand in CONCORD,NH.|2023-08-30 17:54:33.681910
3747|There are 3,290 units of MENS family products on-hand in ROCKSPRNG,WY.|2023-08-30 17:54:33.779609
3748|There are 5,218 units of MENS family products on-hand in KNOXVILLE,TN.|2023-08-30 17:54:33.883315
3749|There are 6,032 units of MENS family products on-hand in OLYMPIA,WA.|2023-08-30 17:54:33.978064
3750|There are 3,857 units of MENS family products on-hand in BILOXI,MI.|2023-08-30 17:54:34.103586
3751|There are 10,947 units of WOMENS family products on-hand in PORTLAND,OR.|2023-08-30 17:54:34.214242
3752|There are 10,615 units of WOMENS family products on-hand in HOUSTON,TX.|2023-08-30 17:54:34.323555
3753|There are 8,665 units of WOMENS family products on-hand in FLAGSTAFF,AZ.|2023-08-30 17:54:34.402048
3754|There are 12,074 units of WOMENS family products on-hand in BATONROUGE,LA.|2023-08-30 17:54:34.497777
3755|There are 9,946 units of WOMENS family products on-hand in JACKSON,MI.|2023-08-30 17:54:34.594171
3756|There are 18,773 units of WOMENS family products on-hand in COLUMBUS,IN.|2023-08-30 17:54:34.702317
3757|There are 11,923 units of WOMENS family products on-hand in EUGENE,OR.|2023-08-30 17:54:34.796921
3758|There are 11,008 units of WOMENS family products on-hand in NEWORLEANS,LA.|2023-08-30 17:54:34.895501
3759|There are 11,258 units of WOMENS family products on-hand in BIRMINGHAM,AL.|2023-08-30 17:54:34.995632
3760|There are 13,607 units of WOMENS family products on-hand in SAN DIEGO,CA.|2023-08-30 17:54:35.084067
3761|There are 11,082 units of WOMENS family products on-hand in HERSHEY,PA.|2023-08-30 17:54:35.210493
3762|There are 9,311 units of WOMENS family products on-hand in ELPASO,TX.|2023-08-30 17:54:35.314825
3763|There are 10,691 units of WOMENS family products on-hand in LANCASTER,PA.|2023-08-30 17:54:35.405051
3764|There are 9,920 units of WOMENS family products on-hand in MIDDLETOWN,WV.|2023-08-30 17:54:35.500239
3765|There are 10,143 units of WOMENS family products on-hand in SEATTLE,WA.|2023-08-30 17:54:35.596668
3766|There are 11,095 units of WOMENS family products on-hand in PITTSBURGH,PA.|2023-08-30 17:54:35.696774
3767|There are 10,668 units of WOMENS family products on-hand in KOKOMO,IN.|2023-08-30 17:54:35.797045
3768|There are 11,068 units of WOMENS family products on-hand in PHILADELPHIA,PA.|2023-08-30 17:54:35.922801
3769|There are 10,110 units of WOMENS family products on-hand in YORK,PA.|2023-08-30 17:54:36.018881
3770|There are 10,336 units of WOMENS family products on-hand in HUNTSVILLE,AL.|2023-08-30 17:54:36.113399
3771|There are 10,935 units of WOMENS family products on-hand in DALLAS,TX.|2023-08-30 17:54:36.208101
3772|There are 8,185 units of WOMENS family products on-hand in EUREKA,CA.|2023-08-30 17:54:36.365883
3773|There are 10,175 units of WOMENS family products on-hand in TACOMA,WA.|2023-08-30 17:54:36.459502
3774|There are 12,102 units of WOMENS family products on-hand in PERU,IL.|2023-08-30 17:54:36.562952
3775|There are 11,390 units of WOMENS family products on-hand in HARTFORD,CT.|2023-08-30 17:54:36.649750
3776|There are 9,867 units of WOMENS family products on-hand in FORTWORTH,TX.|2023-08-30 17:54:36.743684
3777|There are 17,921 units of WOMENS family products on-hand in BLOOMNGTN,IL.|2023-08-30 17:54:36.838647
3778|There are 8,927 units of WOMENS family products on-hand in AUSTIN,TX.|2023-08-30 17:54:36.947064
3779|There are 9,683 units of WOMENS family products on-hand in MACON,GA.|2023-08-30 17:54:37.041323
3780|There are 12,984 units of WOMENS family products on-hand in WACO,TX.|2023-08-30 17:54:37.135437
3781|There are 9,609 units of WOMENS family products on-hand in BRICK,NJ.|2023-08-30 17:54:37.245050
3782|There are 8,518 units of WOMENS family products on-hand in MANCHESTER ,NH.|2023-08-30 17:54:37.339207
3783|There are 9,545 units of WOMENS family products on-hand in CONCORD,NH.|2023-08-30 17:54:37.445004
3784|There are 10,454 units of WOMENS family products on-hand in ROCKSPRNG,WY.|2023-08-30 17:54:37.538294
3785|There are 9,890 units of WOMENS family products on-hand in KNOXVILLE,TN.|2023-08-30 17:54:37.648267
3786|There are 11,520 units of WOMENS family products on-hand in OLYMPIA,WA.|2023-08-30 17:54:37.742313
3787|There are 9,585 units of WOMENS family products on-hand in BILOXI,MI.|2023-08-30 17:54:37.838264
3788|There are 2,042 units of JUNIORS family products on-hand in PORTLAND,OR.|2023-08-30 17:54:37.948188
3789|There are 2,555 units of JUNIORS family products on-hand in HOUSTON,TX.|2023-08-30 17:54:38.070945
3790|There are 1,995 units of JUNIORS family products on-hand in FLAGSTAFF,AZ.|2023-08-30 17:54:38.181100
3791|There are 1,549 units of JUNIORS family products on-hand in BATONROUGE,LA.|2023-08-30 17:54:38.306857
3792|There are 2,068 units of JUNIORS family products on-hand in JACKSON,MI.|2023-08-30 17:54:38.417630
3793|There are 3,036 units of JUNIORS family products on-hand in COLUMBUS,IN.|2023-08-30 17:54:38.512984
3794|There are 1,947 units of JUNIORS family products on-hand in EUGENE,OR.|2023-08-30 17:54:38.620124
3795|There are 1,795 units of JUNIORS family products on-hand in NEWORLEANS,LA.|2023-08-30 17:54:38.720490
3796|There are 1,863 units of JUNIORS family products on-hand in BIRMINGHAM,AL.|2023-08-30 17:54:38.814332
3797|There are 2,153 units of JUNIORS family products on-hand in SAN DIEGO,CA.|2023-08-30 17:54:38.924195
3798|There are 1,350 units of JUNIORS family products on-hand in HERSHEY,PA.|2023-08-30 17:54:39.024005
3799|There are 1,897 units of JUNIORS family products on-hand in ELPASO,TX.|2023-08-30 17:54:39.121486
3800|There are 6 units of JUNIORS family products on-hand in LANCASTER,PA.|2023-08-30 17:54:39.231076
3801|There are 1,741 units of JUNIORS family products on-hand in MIDDLETOWN,WV.|2023-08-30 17:54:39.326049
3802|There are 1,866 units of JUNIORS family products on-hand in SEATTLE,WA.|2023-08-30 17:54:39.407533
3803|There are 1,181 units of JUNIORS family products on-hand in PITTSBURGH,PA.|2023-08-30 17:54:39.521486
3804|There are 2,572 units of JUNIORS family products on-hand in KOKOMO,IN.|2023-08-30 17:54:39.658336
3805|There are 1,643 units of JUNIORS family products on-hand in PHILADELPHIA,PA.|2023-08-30 17:54:39.871394
3806|There are 1,950 units of JUNIORS family products on-hand in YORK,PA.|2023-08-30 17:54:40.033659
3807|There are 2,032 units of JUNIORS family products on-hand in HUNTSVILLE,AL.|2023-08-30 17:54:40.206977
3808|There are 2,136 units of JUNIORS family products on-hand in DALLAS,TX.|2023-08-30 17:54:40.338083
3809|There are 2,122 units of JUNIORS family products on-hand in EUREKA,CA.|2023-08-30 17:54:40.448846
3810|There are 1,182 units of JUNIORS family products on-hand in TACOMA,WA.|2023-08-30 17:54:40.562117
3811|There are 2,078 units of JUNIORS family products on-hand in PERU,IL.|2023-08-30 17:54:41.104808
3812|There are 1,652 units of JUNIORS family products on-hand in HARTFORD,CT.|2023-08-30 17:54:41.300499
3813|There are 1,418 units of JUNIORS family products on-hand in FORTWORTH,TX.|2023-08-30 17:54:41.395475
3814|There are 1,821 units of JUNIORS family products on-hand in BLOOMNGTN,IL.|2023-08-30 17:54:41.509979
3815|There are 1,726 units of JUNIORS family products on-hand in AUSTIN,TX.|2023-08-30 17:54:41.618683
3816|There are 2,107 units of JUNIORS family products on-hand in MACON,GA.|2023-08-30 17:54:41.712854
3817|There are 2,319 units of JUNIORS family products on-hand in WACO,TX.|2023-08-30 17:54:41.811343
3818|There are 1,670 units of JUNIORS family products on-hand in BRICK,NJ.|2023-08-30 17:54:41.931402
3819|There are 1,670 units of JUNIORS family products on-hand in MANCHESTER ,NH.|2023-08-30 17:54:42.027101
3820|There are 1,479 units of JUNIORS family products on-hand in CONCORD,NH.|2023-08-30 17:54:42.139608
3821|There are 1,503 units of JUNIORS family products on-hand in ROCKSPRNG,WY.|2023-08-30 17:54:42.289181
3822|There are 2,508 units of JUNIORS family products on-hand in KNOXVILLE,TN.|2023-08-30 17:54:42.806476
3823|There are 1,645 units of JUNIORS family products on-hand in OLYMPIA,WA.|2023-08-30 17:54:42.900860
3824|There are 1,308 units of JUNIORS family products on-hand in BILOXI,MI.|2023-08-30 17:54:43.077513
3825|There are 5,352 units of CHILDRENS family products on-hand in PORTLAND,OR.|2023-08-30 17:54:43.171506
3826|There are 5,732 units of CHILDRENS family products on-hand in HOUSTON,TX.|2023-08-30 17:54:43.281222
3827|There are 7,320 units of CHILDRENS family products on-hand in FLAGSTAFF,AZ.|2023-08-30 17:54:43.451405
3828|There are 4,082 units of CHILDRENS family products on-hand in BATONROUGE,LA.|2023-08-30 17:54:43.563031
3829|There are 4,161 units of CHILDRENS family products on-hand in JACKSON,MI.|2023-08-30 17:54:43.672760
3830|There are 10,297 units of CHILDRENS family products on-hand in COLUMBUS,IN.|2023-08-30 17:54:43.782470
3831|There are 4,305 units of CHILDRENS family products on-hand in EUGENE,OR.|2023-08-30 17:54:43.891571
3832|There are 4,070 units of CHILDRENS family products on-hand in NEWORLEANS,LA.|2023-08-30 17:54:43.985798
3833|There are 8,206 units of CHILDRENS family products on-hand in BIRMINGHAM,AL.|2023-08-30 17:54:44.126695
3834|There are 4,852 units of CHILDRENS family products on-hand in SAN DIEGO,CA.|2023-08-30 17:54:44.220996
3835|There are 4,821 units of CHILDRENS family products on-hand in HERSHEY,PA.|2023-08-30 17:54:44.317561
3836|There are 3,610 units of CHILDRENS family products on-hand in ELPASO,TX.|2023-08-30 17:54:44.423193
3837|There are 3,787 units of CHILDRENS family products on-hand in LANCASTER,PA.|2023-08-30 17:54:44.535710
3838|There are 4,577 units of CHILDRENS family products on-hand in MIDDLETOWN,WV.|2023-08-30 17:54:44.630850
3839|There are 3,619 units of CHILDRENS family products on-hand in SEATTLE,WA.|2023-08-30 17:54:44.819218
3840|There are 4,604 units of CHILDRENS family products on-hand in PITTSBURGH,PA.|2023-08-30 17:54:44.924389
3841|There are 5,283 units of CHILDRENS family products on-hand in KOKOMO,IN.|2023-08-30 17:54:45.039488
3842|There are 6,450 units of CHILDRENS family products on-hand in PHILADELPHIA,PA.|2023-08-30 17:54:45.152883
3843|There are 4,211 units of CHILDRENS family products on-hand in YORK,PA.|2023-08-30 17:54:45.262584
3844|There are 7,164 units of CHILDRENS family products on-hand in HUNTSVILLE,AL.|2023-08-30 17:54:45.356689
3845|There are 3,573 units of CHILDRENS family products on-hand in DALLAS,TX.|2023-08-30 17:54:45.473507
3846|There are 6,153 units of CHILDRENS family products on-hand in EUREKA,CA.|2023-08-30 17:54:45.568310
3847|There are 4,418 units of CHILDRENS family products on-hand in TACOMA,WA.|2023-08-30 17:54:45.678040
3848|There are 4,841 units of CHILDRENS family products on-hand in PERU,IL.|2023-08-30 17:54:45.789026
3849|There are 6,437 units of CHILDRENS family products on-hand in HARTFORD,CT.|2023-08-30 17:54:45.899272
3850|There are 5,062 units of CHILDRENS family products on-hand in FORTWORTH,TX.|2023-08-30 17:54:46.006064
3851|There are 6,638 units of CHILDRENS family products on-hand in BLOOMNGTN,IL.|2023-08-30 17:54:46.100195
3852|There are 4,170 units of CHILDRENS family products on-hand in AUSTIN,TX.|2023-08-30 17:54:46.211059
3853|There are 5,380 units of CHILDRENS family products on-hand in MACON,GA.|2023-08-30 17:54:46.305152
3854|There are 4,681 units of CHILDRENS family products on-hand in WACO,TX.|2023-08-30 17:54:46.431026
3855|There are 4,734 units of CHILDRENS family products on-hand in BRICK,NJ.|2023-08-30 17:54:46.523917
3856|There are 3,450 units of CHILDRENS family products on-hand in MANCHESTER ,NH.|2023-08-30 17:54:46.608780
3857|There are 5,292 units of CHILDRENS family products on-hand in CONCORD,NH.|2023-08-30 17:54:46.705915
3858|There are 5,145 units of CHILDRENS family products on-hand in ROCKSPRNG,WY.|2023-08-30 17:54:46.871401
3859|There are 8,678 units of CHILDRENS family products on-hand in KNOXVILLE,TN.|2023-08-30 17:54:46.981701
3860|There are 5,495 units of CHILDRENS family products on-hand in OLYMPIA,WA.|2023-08-30 17:54:47.139150
3861|There are 5,252 units of CHILDRENS family products on-hand in BILOXI,MI.|2023-08-30 17:54:47.249074
3862|There are 4,030 units of COSMETICS family products on-hand in PORTLAND,OR.|2023-08-30 17:54:47.378741
3863|There are 4,322 units of COSMETICS family products on-hand in HOUSTON,TX.|2023-08-30 17:54:47.491595
3864|There are 3,522 units of COSMETICS family products on-hand in FLAGSTAFF,AZ.|2023-08-30 17:54:47.591363
3865|There are 3,734 units of COSMETICS family products on-hand in BATONROUGE,LA.|2023-08-30 17:54:47.719468
3866|There are 4,103 units of COSMETICS family products on-hand in JACKSON,MI.|2023-08-30 17:54:47.813935
3867|There are 5,291 units of COSMETICS family products on-hand in COLUMBUS,IN.|2023-08-30 17:54:47.909134
3868|There are 4,143 units of COSMETICS family products on-hand in EUGENE,OR.|2023-08-30 17:54:48.028193
3869|There are 3,328 units of COSMETICS family products on-hand in NEWORLEANS,LA.|2023-08-30 17:54:48.140378
3870|There are 2,781 units of COSMETICS family products on-hand in BIRMINGHAM,AL.|2023-08-30 17:54:48.265944
3871|There are 4,573 units of COSMETICS family products on-hand in SAN DIEGO,CA.|2023-08-30 17:54:48.371998
3872|There are 3,077 units of COSMETICS family products on-hand in HERSHEY,PA.|2023-08-30 17:54:48.735613
3873|There are 4,259 units of COSMETICS family products on-hand in ELPASO,TX.|2023-08-30 17:54:48.846273
3874|There are 3,750 units of COSMETICS family products on-hand in LANCASTER,PA.|2023-08-30 17:54:48.940132
3875|There are 2,955 units of COSMETICS family products on-hand in MIDDLETOWN,WV.|2023-08-30 17:54:49.050759
3876|There are 4,238 units of COSMETICS family products on-hand in SEATTLE,WA.|2023-08-30 17:54:49.158000
3877|There are 3,126 units of COSMETICS family products on-hand in PITTSBURGH,PA.|2023-08-30 17:54:49.677807
3878|There are 3,249 units of COSMETICS family products on-hand in KOKOMO,IN.|2023-08-30 17:54:49.770080
3879|There are 3,162 units of COSMETICS family products on-hand in PHILADELPHIA,PA.|2023-08-30 17:54:49.865304
3880|There are 2,935 units of COSMETICS family products on-hand in YORK,PA.|2023-08-30 17:54:49.990838
3881|There are 4,320 units of COSMETICS family products on-hand in HUNTSVILLE,AL.|2023-08-30 17:54:50.102060
3882|There are 4,469 units of COSMETICS family products on-hand in DALLAS,TX.|2023-08-30 17:54:50.224814
3883|There are 3,699 units of COSMETICS family products on-hand in EUREKA,CA.|2023-08-30 17:54:50.318410
3884|There are 3,462 units of COSMETICS family products on-hand in TACOMA,WA.|2023-08-30 17:54:50.444362
3885|There are 3,709 units of COSMETICS family products on-hand in PERU,IL.|2023-08-30 17:54:50.588195
3886|There are 3,687 units of COSMETICS family products on-hand in HARTFORD,CT.|2023-08-30 17:54:50.694799
3887|There are 3,924 units of COSMETICS family products on-hand in FORTWORTH,TX.|2023-08-30 17:54:50.807490
3888|There are 5,455 units of COSMETICS family products on-hand in BLOOMNGTN,IL.|2023-08-30 17:54:50.902921
3889|There are 3,246 units of COSMETICS family products on-hand in AUSTIN,TX.|2023-08-30 17:54:51.014375
3890|There are 4,850 units of COSMETICS family products on-hand in MACON,GA.|2023-08-30 17:54:51.136010
3891|There are 4,164 units of COSMETICS family products on-hand in WACO,TX.|2023-08-30 17:54:51.268440
3892|There are 3,433 units of COSMETICS family products on-hand in BRICK,NJ.|2023-08-30 17:54:51.385707
3893|There are 3,556 units of COSMETICS family products on-hand in MANCHESTER ,NH.|2023-08-30 17:54:51.480279
3894|There are 5,010 units of COSMETICS family products on-hand in CONCORD,NH.|2023-08-30 17:54:51.575818
3895|There are 2,769 units of COSMETICS family products on-hand in ROCKSPRNG,WY.|2023-08-30 17:54:51.673682
3896|There are 2,493 units of COSMETICS family products on-hand in KNOXVILLE,TN.|2023-08-30 17:54:51.808503
3897|There are 4,473 units of COSMETICS family products on-hand in OLYMPIA,WA.|2023-08-30 17:54:51.903307
3898|There are 3,760 units of COSMETICS family products on-hand in BILOXI,MI.|2023-08-30 17:54:52.013376
3899|There are 4,580 units of ACCESSORIES family products on-hand in PORTLAND,OR.|2023-08-30 17:54:52.109303
3900|There are 4,618 units of ACCESSORIES family products on-hand in HOUSTON,TX.|2023-08-30 17:54:52.204555
3901|There are 4,057 units of ACCESSORIES family products on-hand in FLAGSTAFF,AZ.|2023-08-30 17:54:52.309950
3902|There are 4,460 units of ACCESSORIES family products on-hand in BATONROUGE,LA.|2023-08-30 17:54:52.405469
3903|There are 4,079 units of ACCESSORIES family products on-hand in JACKSON,MI.|2023-08-30 17:54:52.533543
3904|There are 11,477 units of ACCESSORIES family products on-hand in COLUMBUS,IN.|2023-08-30 17:54:52.628369
3905|There are 3,773 units of ACCESSORIES family products on-hand in EUGENE,OR.|2023-08-30 17:54:52.802460
3906|There are 4,074 units of ACCESSORIES family products on-hand in NEWORLEANS,LA.|2023-08-30 17:54:52.890772
3907|There are 4,254 units of ACCESSORIES family products on-hand in BIRMINGHAM,AL.|2023-08-30 17:54:52.990476
3908|There are 4,118 units of ACCESSORIES family products on-hand in SAN DIEGO,CA.|2023-08-30 17:54:53.074687
3909|There are 4,620 units of ACCESSORIES family products on-hand in HERSHEY,PA.|2023-08-30 17:54:53.280467
3910|There are 3,611 units of ACCESSORIES family products on-hand in ELPASO,TX.|2023-08-30 17:54:53.396866
3911|There are 4,935 units of ACCESSORIES family products on-hand in LANCASTER,PA.|2023-08-30 17:54:53.500157
3912|There are 4,107 units of ACCESSORIES family products on-hand in MIDDLETOWN,WV.|2023-08-30 17:54:53.597428
3913|There are 3,671 units of ACCESSORIES family products on-hand in SEATTLE,WA.|2023-08-30 17:54:53.708883
3914|There are 4,081 units of ACCESSORIES family products on-hand in PITTSBURGH,PA.|2023-08-30 17:54:53.803518
3915|There are 3,492 units of ACCESSORIES family products on-hand in KOKOMO,IN.|2023-08-30 17:54:53.901129
3916|There are 4,405 units of ACCESSORIES family products on-hand in PHILADELPHIA,PA.|2023-08-30 17:54:53.988538
